txHash;EtherscanUrl;txType;creditAmount;creditAsset;debitAmount;debitAsset;Memo;creditAccount;debitAccount;txFeeAsset;txFeeAmount;txFeeAccount;dateTime;timestamp
0x88f63ea1fd342f3d699323b970c73e268174afcfbc011d874cb85f6881b854b8;https://etherscan.io/tx/0x88f63ea1fd342f3d699323b970c73e268174afcfbc011d874cb85f6881b854b8;Deposit;1,08609264;Ether;1,08609264;Ether;Deposit 1.08609264 Ether From HitBTC 2;0x59a5208b32e627891c389ebafc644145224006e8 (HitBTC 2);0x9ad227d56a36b33407916f3293db2d298095dca9;;0;;2020-04-22T13:47:07Z;1587563227
0x74af4b6ee21e053c2873e0abfaaeb25cd7524dc35cbdedaad0a1514feb4de92b;https://etherscan.io/tx/0x74af4b6ee21e053c2873e0abfaaeb25cd7524dc35cbdedaad0a1514feb4de92b;Deposit;1,39832882;Ether;1,39832882;Ether;Deposit 1.39832882 Ether From HitBTC 2;0x59a5208b32e627891c389ebafc644145224006e8 (HitBTC 2);0x9ad227d56a36b33407916f3293db2d298095dca9;;0;;2020-04-22T13:47:07Z;1587563227
0x3f513a970006530e79e19fe5ed01b68d3408897250624a601078944ccd805187;https://etherscan.io/tx/0x3f513a970006530e79e19fe5ed01b68d3408897250624a601078944ccd805187;Deposit;0,54190052;Ether;0,54190052;Ether;Deposit 0.54190052 Ether From HitBTC 2;0x59a5208b32e627891c389ebafc644145224006e8 (HitBTC 2);0x9ad227d56a36b33407916f3293db2d298095dca9;;0;;2020-04-22T13:47:07Z;1587563227
0xc2124120b44539c94f032b31ee5ad22ad89ed47d3319d1a24cd9ecf2c4e58cb9;https://etherscan.io/tx/0xc2124120b44539c94f032b31ee5ad22ad89ed47d3319d1a24cd9ecf2c4e58cb9;Fee;0;;0;;Loss on fail transaction;0x9ad227d56a36b33407916f3293db2d298095dca9;;Ether;0,001027516;0x9ad227d56a36b33407916f3293db2d298095dca9;2020-04-22T15:04:16Z;1587567856
0x1588fa2985337f390644af6e20fde82ca5d122faec261141c7d9b832e1bb8286;https://etherscan.io/tx/0x1588fa2985337f390644af6e20fde82ca5d122faec261141c7d9b832e1bb8286;Deposit;174012,92473799;HEX;174012,92473799;HEX;Deposit 174012.92473799 HEX From Uniswap: HEX;0x05cde89ccfa0ada8c88d5a23caaa79ef129e7883 (Uniswap: HEX);0x9ad227d56a36b33407916f3293db2d298095dca9;Ether;0,000924756;0x9ad227d56a36b33407916f3293db2d298095dca9;2020-04-22T15:05:24Z;1587567924
0x1588fa2985337f390644af6e20fde82ca5d122faec261141c7d9b832e1bb8286;https://etherscan.io/tx/0x1588fa2985337f390644af6e20fde82ca5d122faec261141c7d9b832e1bb8286;Withdrawl;3;Ether;3;Ether;Withdrawal 3 Ether To Uniswap: HEX;0x9ad227d56a36b33407916f3293db2d298095dca9;0x05cde89ccfa0ada8c88d5a23caaa79ef129e7883 (Uniswap: HEX);;0;;2020-04-22T15:05:24Z;1587567924
0xc16c2f50d043ac652313ae512400946ca93cd3ce943ba5159785782196929ea1;https://etherscan.io/tx/0xc16c2f50d043ac652313ae512400946ca93cd3ce943ba5159785782196929ea1;Deposit;2,13175577;Ether;2,13175577;Ether;Deposit 2.13175577 Ether From HitBTC 2;0x59a5208b32e627891c389ebafc644145224006e8 (HitBTC 2);0x9ad227d56a36b33407916f3293db2d298095dca9;;0;;2020-04-22T15:22:05Z;1587568925
0xa08b7c4a6bf50aba80c1a039ca7093ad9366b7b96229d98a8f74f130667f4dcd;https://etherscan.io/tx/0xa08b7c4a6bf50aba80c1a039ca7093ad9366b7b96229d98a8f74f130667f4dcd;Deposit;119385,76717038;HEX;119385,76717038;HEX;Deposit 119385.76717038 HEX From Uniswap: HEX;0x05cde89ccfa0ada8c88d5a23caaa79ef129e7883 (Uniswap: HEX);0x9ad227d56a36b33407916f3293db2d298095dca9;Ether;0,000714756;0x9ad227d56a36b33407916f3293db2d298095dca9;2020-04-22T15:48:29Z;1587570509
0xa08b7c4a6bf50aba80c1a039ca7093ad9366b7b96229d98a8f74f130667f4dcd;https://etherscan.io/tx/0xa08b7c4a6bf50aba80c1a039ca7093ad9366b7b96229d98a8f74f130667f4dcd;Withdrawl;2,1;Ether;2,1;Ether;Withdrawal 2.1 Ether To Uniswap: HEX;0x9ad227d56a36b33407916f3293db2d298095dca9;0x05cde89ccfa0ada8c88d5a23caaa79ef129e7883 (Uniswap: HEX);;0;;2020-04-22T15:48:29Z;1587570509
0xc257799a8c0da9ba7364ba43b09aa443a7495bb94990d9e0065133bc38bb9967;https://etherscan.io/tx/0xc257799a8c0da9ba7364ba43b09aa443a7495bb94990d9e0065133bc38bb9967;Deposit;187732,38432389;HEX;187732,38432389;HEX;Deposit 187732.38432389 HEX From 0x61fc4c21b78b67d0408da673a90e4e22a0bc1342;0x61fc4c21b78b67d0408da673a90e4e22a0bc1342;0x9ad227d56a36b33407916f3293db2d298095dca9;;0;;2020-04-23T05:34:18Z;1587620058
