txHash;EtherscanUrl;txType;creditAmount;creditAsset;debitAmount;debitAsset;Memo;creditAccount;debitAccount;txFeeAsset;txFeeAmount;txFeeAccount;dateTime;timestamp
0x1315726b765987e7f52f375ffd19d65f6fd8f9b2b16caad1642807d9127d05d1;https://etherscan.io/tx/0x1315726b765987e7f52f375ffd19d65f6fd8f9b2b16caad1642807d9127d05d1;Deposit;0,9999218;Ether;0,9999218;Ether;Withdraw 0.9999218 Ether From  Binance;0x564286362092d8e7936f0549571a803b203aaced (Binance 3);0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;;0;;2020-08-27T19:01:51Z;1598544111
0x563b6cd5d3f0a337db2a980eb8879b0b41bcd847f95af6d5672b064f72fce210;https://etherscan.io/tx/0x563b6cd5d3f0a337db2a980eb8879b0b41bcd847f95af6d5672b064f72fce210;Deposit;34,282663;USDC;34,282663;USDC;Deposit 34.282663 USDC From Uniswap V2: USDC 3;0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc (Uniswap V2: USDC 3);0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;Ether;0,00618691213623;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;2020-08-27T23:18:07Z;1598559487
0x563b6cd5d3f0a337db2a980eb8879b0b41bcd847f95af6d5672b064f72fce210;https://etherscan.io/tx/0x563b6cd5d3f0a337db2a980eb8879b0b41bcd847f95af6d5672b064f72fce210;Withdrawl;0,09;Ether;0,09;Ether;Withdrawal 0.09 Ether To Uniswap V2: Router 2;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;0x7a250d5630b4cf539739df2c5dacb4c659f2488d (Uniswap V2: Router 2);;0;;2020-08-27T23:18:07Z;1598559487
0x314abcebdef0f181be361f6dfeacd9b164da76cdd993561cdfd084239ab85d20;https://etherscan.io/tx/0x314abcebdef0f181be361f6dfeacd9b164da76cdd993561cdfd084239ab85d20;Fee;0;;0;;Loss on fail transaction;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;;Ether;0,00144025;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;2020-08-27T23:32:55Z;1598560375
0xe333569462d3428642bb6879fa4f69faefac0ad22465277c56103e18b73fe646;https://etherscan.io/tx/0xe333569462d3428642bb6879fa4f69faefac0ad22465277c56103e18b73fe646;Deposit;337,624603;USDC;337,624603;USDC;Deposit 337.624603 USDC From Uniswap V2: USDC 3;0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc (Uniswap V2: USDC 3);0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;Ether;0,005634536;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;2020-08-27T23:44:05Z;1598561045
0xe333569462d3428642bb6879fa4f69faefac0ad22465277c56103e18b73fe646;https://etherscan.io/tx/0xe333569462d3428642bb6879fa4f69faefac0ad22465277c56103e18b73fe646;Withdrawl;0,89;Ether;0,89;Ether;Withdrawal 0.89 Ether To Uniswap V2: Router 2;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;0x7a250d5630b4cf539739df2c5dacb4c659f2488d (Uniswap V2: Router 2);;0;;2020-08-27T23:44:05Z;1598561045
0x4f8ec354bbe5735aa65ede6260ddf599f29ea44f6db483c7c506eaf8be792867;https://etherscan.io/tx/0x4f8ec354bbe5735aa65ede6260ddf599f29ea44f6db483c7c506eaf8be792867;Deposit;355,98;USDC;355,98;USDC;Deposit 355.98 USDC From Binance;0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be (Binance);0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;;0;;2020-08-29T13:13:20Z;1598696000
0x0cdef5fe098e78c7f3e9269a018a266730fe3165dfc640e047473f3e6298eb86;https://etherscan.io/tx/0x0cdef5fe098e78c7f3e9269a018a266730fe3165dfc640e047473f3e6298eb86;Fee;0;;0;;Approved  UNI-V2 For Trade On  SushiSwap: MasterChef LP Staking Pool;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;;Ether;0,00230898136822;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;2020-08-29T13:28:33Z;1598696913
0xb6b0a72354d3ad4b7e8904d5ff07902e7fea5ce552b3762c50049fa1be4258a8;https://etherscan.io/tx/0xb6b0a72354d3ad4b7e8904d5ff07902e7fea5ce552b3762c50049fa1be4258a8;Deposit;0,99904;Ether;0,99904;Ether;Withdraw 0.99904 Ether From  Binance;0x0681d8db095565fe8a346fa0277bffde9c0edbbf (Binance 4);0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;;0;;2020-08-29T13:29:40Z;1598696980
0xcfc7461e7623f26ce91494956e78e09f9b25431b91e30c5520d555209cb8bd8e;https://etherscan.io/tx/0xcfc7461e7623f26ce91494956e78e09f9b25431b91e30c5520d555209cb8bd8e;Fee;0;;0;;Approved  USDC For Trade On  Curve.fi: Compound Swap;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;;Ether;0,0027847669;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;2020-08-29T13:56:28Z;1598698588
