from;to;blockNumber;timeStamp;dateTimeUTC;value;tokenSymbol;tokenName;TransactionHash;contractAddress
0xc666aba09c01ccd324c0db5540d50e536952c4e2;0x2b591e99afe9f32eaa6214f7b7629768c40eeb39;10036080;1589081843;2020-05-10 06:37:23;0;HEX;HEX;0xbfe2222b4cb07ae2bea888b669012252bd1fba412bde7680fcee19617b167ce4;
0xc666aba09c01ccd324c0db5540d50e536952c4e2;0x05cde89ccfa0ada8c88d5a23caaa79ef129e7883;10036043;1589081358;2020-05-10 06:29:18;1330000000000000000;UNI-V1;Uniswap V1;0xe28d73cd56fb45a4a7a3693069c482845bab0b40be31b0d325e4a6dcc39f191d;
0x61fc4c21b78b67d0408da673a90e4e22a0bc1342;0xc666aba09c01ccd324c0db5540d50e536952c4e2;10035996;1589080748;2020-05-10 06:19:08;1350000000000000000;;;0xb39a6c56e81614f2bf594c06f065ea8a135cb612786ed578b59486ce49d62451;
0x9ad227d56a36b33407916f3293db2d298095dca9;0xed1199093b1abd07a368dd1c0cdc77d8517ba2a0;10488115;1595137579;2020-07-19 08:46:19;0;HEX2T;HEX2T;0x4aac99dec5b1b2831857921458d8a3ba1d45967d7b8ad678c32be7a481acb6f9;
0x9ad227d56a36b33407916f3293db2d298095dca9;0x7a250d5630b4cf539739df2c5dacb4c659f2488d;10473145;1594937646;2020-07-17 01:14:06;0;-;-;0xf4392ef53f97bf96cfe63b34f89ebf97570dc9d4f5f2a59052c1f42bd91d1d14;
0x9ad227d56a36b33407916f3293db2d298095dca9;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;10466477;1594847973;2020-07-16 00:19:33;0;USDC;USD Coin;0x44f07b1d16e3db8a1ff4ce1f111aeee8c2e2067f3db191e27414df90491fbbd0;
0x9ad227d56a36b33407916f3293db2d298095dca9;0x39aa39c021dfbae8fac545936693ac917d5e7563;10466426;1594847490;2020-07-16 00:11:30;0;cUSDC;Compound USD Coin;0x6ffe4da4cdabc6a7756ce992ebd6974defa7220428e2c97612c27ff1262b082d;
0x9ad227d56a36b33407916f3293db2d298095dca9;0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b;10466402;1594847237;2020-07-16 00:07:17;0;-;-;0x0916798fa2e4e4bdae93b4345c895e827005d6f5c86d2caafe6412340e50e8c7;
0x9ad227d56a36b33407916f3293db2d298095dca9;0x7cf22917643f15520121a6eece65be4a609cce5b;10388221;1593803209;2020-07-03 22:06:49;30000000000000000;;;0xe38780bcfcd4e5bd0ff1a6d3adf79f2a22782900378d39769bb2628f9f818f77;
0x9ad227d56a36b33407916f3293db2d298095dca9;0xce833222051740aa5427d089a46ff3918763107f;10351523;1593310756;2020-06-28 05:19:16;0;PAMP;Pamp Network;0x4a62cec76c3b2e9e709553340f60e1a4ccff53053cacd618afad7c068eaf1ef8;
0x9ad227d56a36b33407916f3293db2d298095dca9;0x39aa39c021dfbae8fac545936693ac917d5e7563;10351133;1593305557;2020-06-28 03:52:37;0;cUSDC;Compound USD Coin;0x1245baf44b3b8b90644fda5a97126f0ecb2fe3edf59ba72467783ccd408a0015;
